date,AAPL,Return,42d,252d,Mov_Vol
2001-06-25,11.99,0.074428803752,11.3371428571,14.5713492063,-0.0483700481513
2001-06-26,11.88,-0.00921665510492,11.325952381,14.5110714286,-0.0518800202579
2001-06-27,11.67,-0.017834867636,11.2919047619,14.4546825397,-0.0501715725639
2001-06-28,11.77,0.00853247497372,11.2688095238,14.3933730159,-0.0528141144915
2001-06-29,11.62,-0.0128261698484,11.2366666667,14.3378174603,-0.049805987795
2001-07-02,11.95,0.0280035269538,11.2045238095,14.2813095238,-0.0494280759282
2001-07-03,11.92,-0.00251361674032,11.1911904762,14.2228174603,-0.0507068729241
2001-07-05,11.6,-0.0272125635249,11.1607142857,14.1663888889,-0.0504043523138
2001-07-06,11.02,-0.0512932943876,11.125952381,14.1073015873,-0.0538547209176
2001-07-09,11.35,0.0295059402026,11.1038095238,14.0443253968,-0.0551030785117
2001-07-10,10.57,-0.0711979440453,11.07,13.9728968254,-0.0626373695947
2001-07-11,11.27,0.0641245281695,11.0645238095,13.9046428571,-0.0583770269314
2001-07-12,12.18,0.0776509342301,11.0823809524,13.8361507937,-0.0555959932117
2001-07-13,12.43,0.0203176432409,11.100952381,13.7733730159,-0.051716913619
2001-07-16,11.98,-0.0368743128353,11.1102380952,13.706468254,-0.055341855453
2001-07-17,12.55,0.0464820728905,11.1221428571,13.6405555556,-0.0531088742189
2001-07-18,10.4,-0.18791485943,11.0895238095,13.5682539683,-0.0637689039875
2001-07-19,9.98,-0.041222715824,11.0469047619,13.5033333333,-0.0611361066535
2001-07-20,9.99,0.00100150233709,11.0042857143,13.4335714286,-0.0639480380066
2001-07-23,9.77,-0.0222681266058,10.9571428571,13.3660714286,-0.0635193785341
2001-07-24,9.55,-0.0227753115621,10.9080952381,13.3073809524,-0.0589359960599
2001-07-25,9.23,-0.0340821059779,10.8516666667,13.2446825397,-0.0628439045371
2001-07-26,9.3,0.00755535164445,10.8021428571,13.1822619048,-0.06236796212
2001-07-27,9.48,0.0191699161077,10.7723809524,13.1167063492,-0.0635554960347
2001-07-30,9.47,-0.00105540906894,10.7623809524,13.0584126984,-0.0589983307673
2001-07-31,9.4,-0.00741921792203,10.7485714286,12.9948809524,-0.0626433976049
2001-08-01,9.53,0.0137350283902,10.7269047619,12.9348412698,-0.059890850669
2001-08-02,9.91,0.0390996306758,10.7169047619,12.8804365079,-0.0547134733081
2001-08-03,9.75,-0.0162770633321,10.6997619048,12.8238888889,-0.0567442186504
2001-08-06,9.56,-0.0196795579464,10.6807142857,12.7678174603,-0.0571649400879
2001-08-07,9.62,0.00625653761431,10.6519047619,12.7108730159,-0.0575109975977
2001-08-08,9.45,-0.017829523172,10.6230952381,12.6555952381,-0.0570642077325
2001-08-09,9.52,0.00738010729762,10.6111904762,12.5991269841,-0.0575884108895
2001-08-10,9.51,-0.00105097224598,10.595952381,12.5425,-0.0577341371726
2001-08-13,9.55,0.00419727793534,10.5797619048,12.4857936508,-0.0576284755033
2001-08-14,9.36,-0.0200958640031,10.565952381,12.4295634921,-0.0580698891587
2001-08-15,9.22,-0.015070252921,10.5421428571,12.373531746,-0.0585084965851
2001-08-16,9.32,0.010787591129,10.5221428571,12.3142857143,-0.0602383391494
2001-08-17,9.03,-0.0316102612686,10.4966666667,12.2480555556,-0.0659369437308
2001-08-20,9.06,0.00331675262599,10.4542857143,12.1848015873,-0.0639394123809
